ir,rgb,rgb_gt
infrared/000085.jpg,visible_mis/000085.png,visible_gt/000085.png
infrared/000086.jpg,visible_mis/000086.png,visible_gt/000086.png
infrared/000087.jpg,visible_mis/000087.png,visible_gt/000087.png
infrared/000088.jpg,visible_mis/000088.png,visible_gt/000088.png
infrared/000089.jpg,visible_mis/000089.png,visible_gt/000089.png
infrared/000090.jpg,visible_mis/000090.png,visible_gt/000090.png
infrared/000091.jpg,visible_mis/000091.png,visible_gt/000091.png
infrared/000092.jpg,visible_mis/000092.png,visible_gt/000092.png
infrared/000093.jpg,visible_mis/000093.png,visible_gt/000093.png
infrared/000094.jpg,visible_mis/000094.png,visible_gt/000094.png
infrared/000095.jpg,visible_mis/000095.png,visible_gt/000095.png
infrared/000096.jpg,visible_mis/000096.png,visible_gt/000096.png
infrared/000097.jpg,visible_mis/000097.png,visible_gt/000097.png
infrared/000098.jpg,visible_mis/000098.png,visible_gt/000098.png
infrared/000099.jpg,visible_mis/000099.png,visible_gt/000099.png
infrared/000100.jpg,visible_mis/000100.png,visible_gt/000100.png
infrared/000101.jpg,visible_mis/000101.png,visible_gt/000101.png
infrared/000102.jpg,visible_mis/000102.png,visible_gt/000102.png
infrared/000103.jpg,visible_mis/000103.png,visible_gt/000103.png
infrared/000104.jpg,visible_mis/000104.png,visible_gt/000104.png
infrared/000105.jpg,visible_mis/000105.png,visible_gt/000105.png
infrared/000106.jpg,visible_mis/000106.png,visible_gt/000106.png
infrared/000107.jpg,visible_mis/000107.png,visible_gt/000107.png
infrared/000108.jpg,visible_mis/000108.png,visible_gt/000108.png
infrared/000109.jpg,visible_mis/000109.png,visible_gt/000109.png
infrared/000110.jpg,visible_mis/000110.png,visible_gt/000110.png
infrared/000111.jpg,visible_mis/000111.png,visible_gt/000111.png
infrared/000112.jpg,visible_mis/000112.png,visible_gt/000112.png
infrared/000113.jpg,visible_mis/000113.png,visible_gt/000113.png
infrared/000114.jpg,visible_mis/000114.png,visible_gt/000114.png
infrared/000115.jpg,visible_mis/000115.png,visible_gt/000115.png
infrared/000116.jpg,visible_mis/000116.png,visible_gt/000116.png
infrared/000117.jpg,visible_mis/000117.png,visible_gt/000117.png
infrared/000118.jpg,visible_mis/000118.png,visible_gt/000118.png
infrared/000119.jpg,visible_mis/000119.png,visible_gt/000119.png
infrared/000120.jpg,visible_mis/000120.png,visible_gt/000120.png
infrared/000121.jpg,visible_mis/000121.png,visible_gt/000121.png
infrared/000122.jpg,visible_mis/000122.png,visible_gt/000122.png
infrared/000123.jpg,visible_mis/000123.png,visible_gt/000123.png
infrared/000124.jpg,visible_mis/000124.png,visible_gt/000124.png
infrared/000125.jpg,visible_mis/000125.png,visible_gt/000125.png
infrared/000126.jpg,visible_mis/000126.png,visible_gt/000126.png
infrared/000127.jpg,visible_mis/000127.png,visible_gt/000127.png
infrared/000128.jpg,visible_mis/000128.png,visible_gt/000128.png
infrared/000129.jpg,visible_mis/000129.png,visible_gt/000129.png
infrared/000130.jpg,visible_mis/000130.png,visible_gt/000130.png
infrared/000131.jpg,visible_mis/000131.png,visible_gt/000131.png
infrared/000132.jpg,visible_mis/000132.png,visible_gt/000132.png
infrared/000133.jpg,visible_mis/000133.png,visible_gt/000133.png
infrared/000134.jpg,visible_mis/000134.png,visible_gt/000134.png
infrared/000135.jpg,visible_mis/000135.png,visible_gt/000135.png
infrared/000136.jpg,visible_mis/000136.png,visible_gt/000136.png
infrared/000137.jpg,visible_mis/000137.png,visible_gt/000137.png
infrared/000138.jpg,visible_mis/000138.png,visible_gt/000138.png
infrared/000139.jpg,visible_mis/000139.png,visible_gt/000139.png
infrared/000140.jpg,visible_mis/000140.png,visible_gt/000140.png
infrared/000141.jpg,visible_mis/000141.png,visible_gt/000141.png
infrared/000142.jpg,visible_mis/000142.png,visible_gt/000142.png
infrared/000143.jpg,visible_mis/000143.png,visible_gt/000143.png
infrared/000144.jpg,visible_mis/000144.png,visible_gt/000144.png
infrared/000145.jpg,visible_mis/000145.png,visible_gt/000145.png
infrared/000146.jpg,visible_mis/000146.png,visible_gt/000146.png
infrared/000147.jpg,visible_mis/000147.png,visible_gt/000147.png
infrared/000148.jpg,visible_mis/000148.png,visible_gt/000148.png
infrared/000149.jpg,visible_mis/000149.png,visible_gt/000149.png
infrared/000150.jpg,visible_mis/000150.png,visible_gt/000150.png
infrared/000151.jpg,visible_mis/000151.png,visible_gt/000151.png
infrared/000152.jpg,visible_mis/000152.png,visible_gt/000152.png
infrared/000153.jpg,visible_mis/000153.png,visible_gt/000153.png
infrared/000154.jpg,visible_mis/000154.png,visible_gt/000154.png
infrared/000155.jpg,visible_mis/000155.png,visible_gt/000155.png
infrared/000156.jpg,visible_mis/000156.png,visible_gt/000156.png
infrared/000157.jpg,visible_mis/000157.png,visible_gt/000157.png
infrared/000158.jpg,visible_mis/000158.png,visible_gt/000158.png
infrared/000159.jpg,visible_mis/000159.png,visible_gt/000159.png
infrared/000160.jpg,visible_mis/000160.png,visible_gt/000160.png
infrared/000161.jpg,visible_mis/000161.png,visible_gt/000161.png
infrared/000162.jpg,visible_mis/000162.png,visible_gt/000162.png
infrared/000163.jpg,visible_mis/000163.png,visible_gt/000163.png
infrared/000164.jpg,visible_mis/000164.png,visible_gt/000164.png
infrared/000165.jpg,visible_mis/000165.png,visible_gt/000165.png
infrared/000166.jpg,visible_mis/000166.png,visible_gt/000166.png
infrared/000167.jpg,visible_mis/000167.png,visible_gt/000167.png
infrared/000168.jpg,visible_mis/000168.png,visible_gt/000168.png
infrared/000169.jpg,visible_mis/000169.png,visible_gt/000169.png
infrared/000170.jpg,visible_mis/000170.png,visible_gt/000170.png
infrared/000171.jpg,visible_mis/000171.png,visible_gt/000171.png
infrared/000172.jpg,visible_mis/000172.png,visible_gt/000172.png
infrared/000173.jpg,visible_mis/000173.png,visible_gt/000173.png
infrared/000174.jpg,visible_mis/000174.png,visible_gt/000174.png
infrared/000175.jpg,visible_mis/000175.png,visible_gt/000175.png
infrared/000176.jpg,visible_mis/000176.png,visible_gt/000176.png
infrared/000177.jpg,visible_mis/000177.png,visible_gt/000177.png
infrared/000178.jpg,visible_mis/000178.png,visible_gt/000178.png
infrared/000179.jpg,visible_mis/000179.png,visible_gt/000179.png
infrared/000180.jpg,visible_mis/000180.png,visible_gt/000180.png
infrared/000181.jpg,visible_mis/000181.png,visible_gt/000181.png
infrared/000182.jpg,visible_mis/000182.png,visible_gt/000182.png
infrared/000183.jpg,visible_mis/000183.png,visible_gt/000183.png
infrared/000184.jpg,visible_mis/000184.png,visible_gt/000184.png
infrared/000185.jpg,visible_mis/000185.png,visible_gt/000185.png
infrared/000186.jpg,visible_mis/000186.png,visible_gt/000186.png
infrared/000187.jpg,visible_mis/000187.png,visible_gt/000187.png
infrared/000188.jpg,visible_mis/000188.png,visible_gt/000188.png
infrared/000189.jpg,visible_mis/000189.png,visible_gt/000189.png
infrared/000190.jpg,visible_mis/000190.png,visible_gt/000190.png
infrared/000191.jpg,visible_mis/000191.png,visible_gt/000191.png
infrared/000192.jpg,visible_mis/000192.png,visible_gt/000192.png
infrared/000193.jpg,visible_mis/000193.png,visible_gt/000193.png
infrared/000194.jpg,visible_mis/000194.png,visible_gt/000194.png
infrared/000195.jpg,visible_mis/000195.png,visible_gt/000195.png
infrared/000196.jpg,visible_mis/000196.png,visible_gt/000196.png
infrared/000197.jpg,visible_mis/000197.png,visible_gt/000197.png
infrared/000198.jpg,visible_mis/000198.png,visible_gt/000198.png
infrared/000199.jpg,visible_mis/000199.png,visible_gt/000199.png
